"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Sector","child"
"1",0,"3","male","3","1","0",7.25,"S","0","Adult"
"2",1,"1","female","4","1","0",71.2833,"C","3","Adult"
"3",1,"3","female","3","0","0",7.925,"S","0","Adult"
"4",1,"1","female","4","1","0",53.1,"S","3","Adult"
"5",0,"3","male","4","0","0",8.05,"S","0","Adult"
"6",0,"3","male","4","0","0",8.4583,"Q","0","Adult"
"7",0,"1","male","4","0","0",51.8625,"S","5","Adult"
"8",0,"3","male","1","3","1",21.075,"S","0","Child"
"9",1,"3","female","3","0","2",11.1333,"S","0","Adult"
"10",1,"2","female","3","1","0",30.0708,"C","0","Adult"
"11",1,"3","female","2","1","1",16.7,"S","7","Child"
"12",1,"1","female","4","0","0",26.55,"S","3","Adult"
"13",0,"3","male","3","0","0",8.05,"S","0","Adult"
"14",0,"3","male","4","1","5",31.275,"S","0","Adult"
"15",0,"3","female","3","0","0",7.8542,"S","0","Adult"
"16",1,"2","female","4","0","0",16,"S","0","Adult"
"17",0,"3","male","1","4","1",29.125,"Q","0","Child"
"18",1,"2","male","4","0","0",13,"S","0","Adult"
"19",0,"3","female","4","1","0",18,"S","0","Adult"
"20",1,"3","female","3","0","0",7.225,"C","0","Adult"
"21",0,"2","male","4","0","0",26,"S","0","Adult"
"22",1,"2","male","4","0","0",13,"S","4","Adult"
"23",1,"3","female","3","0","0",8.0292,"Q","0","Adult"
"24",1,"1","male","3","0","0",35.5,"S","1","Adult"
"25",0,"3","female","2","3","1",21.075,"S","0","Child"
"26",1,"3","female","4","1","5",31.3875,"S","0","Adult"
"27",0,"3","male","4","0","0",7.225,"C","0","Adult"
"28",0,"1","male","3","3","2",263,"S","3","Adult"
"29",1,"3","female","3","0","0",7.8792,"Q","0","Adult"
"30",0,"3","male","3","0","0",7.8958,"S","0","Adult"
"31",0,"1","male","4","0","0",27.7208,"C","0","Adult"
"32",1,"1","female","3","1","0",146.5208,"C","2","Adult"
"33",1,"3","female","3","0","0",7.75,"Q","0","Adult"
"34",0,"2","male","5","0","0",10.5,"S","0","Adult"
"35",0,"1","male","3","1","0",82.1708,"C","0","Adult"
"36",0,"1","male","4","1","0",52,"S","0","Adult"
"37",1,"3","male","3","0","0",7.2292,"C","0","Adult"
"38",0,"3","male","3","0","0",8.05,"S","0","Adult"
"39",0,"3","female","3","2","0",18,"S","0","Adult"
"40",1,"3","female","3","1","0",11.2417,"C","0","Adult"
"41",0,"3","female","4","1","0",9.475,"S","0","Adult"
"42",0,"2","female","3","1","0",21,"S","0","Adult"
"43",0,"3","male","3","0","0",7.8958,"C","0","Adult"
"44",1,"2","female","1","1","2",41.5792,"C","0","Child"
"45",1,"3","female","3","0","0",7.8792,"Q","0","Adult"
"46",0,"3","male","3","0","0",8.05,"S","0","Adult"
"47",0,"3","male","4","1","0",15.5,"Q","0","Adult"
"48",1,"3","female","3","0","0",7.75,"Q","0","Adult"
"49",0,"3","male","3","2","0",21.6792,"C","0","Adult"
"50",0,"3","female","3","1","0",17.8,"S","0","Adult"
"51",0,"3","male","2","4","1",39.6875,"S","0","Child"
"52",0,"3","male","3","0","0",7.8,"S","0","Adult"
"53",1,"1","female","4","1","0",76.7292,"C","4","Adult"
"54",1,"2","female","3","1","0",26,"S","0","Adult"
"55",0,"1","male","5","0","1",61.9792,"C","2","Adult"
"56",1,"1","male","3","0","0",35.5,"S","3","Adult"
"57",1,"2","female","3","0","0",10.5,"S","0","Adult"
"58",0,"3","male","3","0","0",7.2292,"C","0","Adult"
"59",1,"2","female","2","1","2",27.75,"S","0","Child"
"60",0,"3","male","2","5","2",46.9,"S","0","Child"
"61",0,"3","male","3","0","0",7.2292,"C","0","Adult"
"62",1,"1","female","4","0","0",80,"S","2","Adult"
"63",0,"1","male","4","1","0",83.475,"S","3","Adult"
"64",0,"3","male","2","3","2",27.9,"S","0","Child"
"65",0,"1","male","4","0","0",27.7208,"C","0","Adult"
"66",1,"3","male","2","1","1",15.2458,"C","0","Child"
"67",1,"2","female","3","0","0",10.5,"S","6","Adult"
"68",0,"3","male","3","0","0",8.1583,"S","0","Adult"
"69",1,"3","female","3","4","2",7.925,"S","0","Adult"
"70",0,"3","male","3","2","0",8.6625,"S","0","Adult"
"71",0,"2","male","4","0","0",10.5,"S","0","Adult"
"72",0,"3","female","3","5","2",46.9,"S","0","Adult"
"73",0,"2","male","3","0","0",73.5,"S","0","Adult"
"74",0,"3","male","3","1","0",14.4542,"C","0","Adult"
"75",1,"3","male","4","0","0",56.4958,"S","0","Adult"
"76",0,"3","male","3","0","0",7.65,"S","6","Adult"
"77",0,"3","male","3","0","0",7.8958,"S","0","Adult"
"78",0,"3","male","3","0","0",8.05,"S","0","Adult"
"79",1,"2","male","1","0","2",29,"S","0","Child"
"80",1,"3","female","4","0","0",12.475,"S","0","Adult"
"81",0,"3","male","3","0","0",9,"S","0","Adult"
"82",1,"3","male","3","0","0",9.5,"S","0","Adult"
"83",1,"3","female","3","0","0",7.7875,"Q","0","Adult"
"84",0,"1","male","3","0","0",47.1,"S","0","Adult"
"85",1,"2","female","3","0","0",10.5,"S","0","Adult"
"86",1,"3","female","4","3","0",15.85,"S","0","Adult"
"87",0,"3","male","3","1","3",34.375,"S","0","Adult"
"88",0,"3","male","3","0","0",8.05,"S","0","Adult"
"89",1,"1","female","3","3","2",263,"S","3","Adult"
"90",0,"3","male","3","0","0",8.05,"S","0","Adult"
"91",0,"3","male","3","0","0",8.05,"S","0","Adult"
"92",0,"3","male","3","0","0",7.8542,"S","0","Adult"
"93",0,"1","male","4","1","0",61.175,"S","5","Adult"
"94",0,"3","male","3","1","2",20.575,"S","0","Adult"
"95",0,"3","male","4","0","0",7.25,"S","0","Adult"
"96",0,"3","male","3","0","0",8.05,"S","0","Adult"
"97",0,"1","male","5","0","0",34.6542,"C","1","Adult"
"98",1,"1","male","3","0","1",63.3583,"C","4","Adult"
"99",1,"2","female","4","0","1",23,"S","0","Adult"
"100",0,"2","male","4","1","0",26,"S","0","Adult"
"101",0,"3","female","3","0","0",7.8958,"S","0","Adult"
"102",0,"3","male","3","0","0",7.8958,"S","0","Adult"
"103",0,"1","male","3","0","1",77.2875,"S","4","Adult"
"104",0,"3","male","4","0","0",8.6542,"S","0","Adult"
"105",0,"3","male","4","2","0",7.925,"S","0","Adult"
