"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Sector"
"1","0",3,2,3,2,1,7.25,3,1
"2","1",1,1,4,2,1,71.2833,1,4
"3","1",3,1,3,1,1,7.925,3,1
"4","1",1,1,4,2,1,53.1,3,4
"5","0",3,2,4,1,1,8.05,3,1
"6","0",3,2,4,1,1,8.4583,2,1
"7","0",1,2,4,1,1,51.8625,3,6
"8","0",3,2,1,4,2,21.075,3,1
"9","1",3,1,3,1,3,11.1333,3,1
"10","1",2,1,3,2,1,30.0708,1,1
"11","1",3,1,2,2,2,16.7,3,8
"12","1",1,1,4,1,1,26.55,3,4
"13","0",3,2,3,1,1,8.05,3,1
"14","0",3,2,4,2,6,31.275,3,1
"15","0",3,1,3,1,1,7.8542,3,1
"16","1",2,1,4,1,1,16,3,1
"17","0",3,2,1,5,2,29.125,2,1
"18","1",2,2,4,1,1,13,3,1
"19","0",3,1,4,2,1,18,3,1
"20","1",3,1,3,1,1,7.225,1,1
"21","0",2,2,4,1,1,26,3,1
"22","1",2,2,4,1,1,13,3,5
"23","1",3,1,3,1,1,8.0292,2,1
"24","1",1,2,3,1,1,35.5,3,2
"25","0",3,1,2,4,2,21.075,3,1
"26","1",3,1,4,2,6,31.3875,3,1
"27","0",3,2,4,1,1,7.225,1,1
"28","0",1,2,3,4,3,263,3,4
"29","1",3,1,3,1,1,7.8792,2,1
"30","0",3,2,3,1,1,7.8958,3,1
"31","0",1,2,4,1,1,27.7208,1,1
"32","1",1,1,3,2,1,146.5208,1,3
"33","1",3,1,3,1,1,7.75,2,1
"34","0",2,2,5,1,1,10.5,3,1
"35","0",1,2,3,2,1,82.1708,1,1
"36","0",1,2,4,2,1,52,3,1
"37","1",3,2,3,1,1,7.2292,1,1
"38","0",3,2,3,1,1,8.05,3,1
"39","0",3,1,3,3,1,18,3,1
"40","1",3,1,3,2,1,11.2417,1,1
"41","0",3,1,4,2,1,9.475,3,1
"42","0",2,1,3,2,1,21,3,1
"43","0",3,2,3,1,1,7.8958,1,1
"44","1",2,1,1,2,3,41.5792,1,1
"45","1",3,1,3,1,1,7.8792,2,1
"46","0",3,2,3,1,1,8.05,3,1
"47","0",3,2,4,2,1,15.5,2,1
"48","1",3,1,3,1,1,7.75,2,1
"49","0",3,2,3,3,1,21.6792,1,1
"50","0",3,1,3,2,1,17.8,3,1
"51","0",3,2,2,5,2,39.6875,3,1
"52","0",3,2,3,1,1,7.8,3,1
"53","1",1,1,4,2,1,76.7292,1,5
"54","1",2,1,3,2,1,26,3,1
"55","0",1,2,5,1,2,61.9792,1,3
"56","1",1,2,3,1,1,35.5,3,4
"57","1",2,1,3,1,1,10.5,3,1
"58","0",3,2,3,1,1,7.2292,1,1
"59","1",2,1,2,2,3,27.75,3,1
"60","0",3,2,2,6,3,46.9,3,1
"61","0",3,2,3,1,1,7.2292,1,1
"62","1",1,1,4,1,1,80,3,3
"63","0",1,2,4,2,1,83.475,3,4
"64","0",3,2,2,4,3,27.9,3,1
"65","0",1,2,4,1,1,27.7208,1,1
"66","1",3,2,2,2,2,15.2458,1,1
"67","1",2,1,3,1,1,10.5,3,7
"68","0",3,2,3,1,1,8.1583,3,1
"69","1",3,1,3,5,3,7.925,3,1
"70","0",3,2,3,3,1,8.6625,3,1
